log_domestic_box_office,log_worldwide_box_office,log_max_theaters,log_opening_theaters,log_budget,log_opening_weekend,release_year,release_month,running_time_minutes,is_franchise,mpaa_rating,genre,source,production_method,creative_type
20.65783329068745,21.444050964435508,8.327242607457793,8.327242607457793,20.094407148144295,19.32880492413293,2015.0,12.0,136.0,1,PG-13,Adventure,Original Screenplay,"Animation,Live Action",Science Fiction
20.343579241381892,21.562930254889036,8.375860015299594,8.343553835005117,19.946737049621326,18.714098041017067,2022.0,12.0,190.0,1,PG-13,Action,Original Screenplay,"Animation,Live Action",Science Fiction
18.977323367841198,19.766056902799182,8.434028950155469,8.434028950155469,19.812708639405724,17.915971410821694,2023.0,6.0,142.0,1,PG-13,Adventure,Original Screenplay,Live Action,Historical Fiction
20.570549296083414,21.73422755602118,8.44741429680832,8.44741429680832,19.806975107572256,19.693568439124842,2019.0,4.0,181.0,1,PG-13,Action,Based on Comic/Graphic Novel,"Animation,Live Action",Super Hero
19.300605384839624,20.76796555425219,8.334471554600944,8.332308352219117,19.753046765685223,18.31700723782675,2011.0,5.0,136.0,1,PG-13,Adventure,Based on Theme Park Ride,Live Action,Historical Fiction
19.944573554435447,21.056387452214317,8.361007108226909,8.361007108226909,19.71540791428649,19.069202403664562,2015.0,4.0,141.0,1,PG-13,Action,Based on Comic/Graphic Novel,"Animation,Live Action",Super Hero
18.799979930683577,20.386918753493212,8.316055720364643,8.305731144875866,19.644456178515657,18.020463009267647,2023.0,5.0,141.0,1,PG-13,Action,Original Screenplay,Live Action,Contemporary Fiction
19.18039959458863,19.789705205112696,8.385260520155413,8.385260520155413,19.61581460263773,18.251320702613555,2018.0,5.0,135.0,1,PG-13,Adventure,Spin-Off,"Animation,Live Action",Science Fiction
20.33585990043369,21.44030519031807,8.406261630708956,8.406261630708956,19.519293035953808,19.36729962864394,2018.0,4.0,156.0,1,PG-13,Action,Based on Comic/Graphic Novel,"Animation,Live Action",Super Hero
19.55021151202369,20.683481317604286,8.38091517312361,8.38091517312361,19.519293035953808,18.558116687636556,2007.0,5.0,167.0,1,PG-13,Adventure,Based on Theme Park Ride,Live Action,Historical Fiction
19.249338651960592,20.301587822078798,8.306965865368573,8.306965865368573,19.519293035953808,18.357125632442333,2017.0,11.0,121.0,1,PG-13,Action,Based on Comic/Graphic Novel,Live Action,Super Hero
18.966724741802718,20.155242052668232,8.372860820526318,8.372860820526318,19.48539148439307,17.8171612282476,2023.0,7.0,163.0,1,PG-13,Action,Based on TV,Live Action,Contemporary Fiction
20.09504458747111,20.776885839597767,8.332789468417959,8.332789468417959,19.45101419543606,18.859462516723145,2016.0,12.0,134.0,1,PG-13,Adventure,Spin-Off,"Animation,Live Action",Science Fiction
20.06007066868944,20.790879451695943,8.390949464841986,8.390949464841986,19.432281659267208,18.99382667105393,2019.0,12.0,142.0,1,PG-13,Adventure,Original Screenplay,"Animation,Live Action",Science Fiction
18.252264743211462,19.11235809984908,8.301769763117166,8.301769763117166,19.43155412195148,17.64655905506079,2023.0,11.0,105.0,1,PG-13,Adventure,Based on Comic/Graphic Novel,Live Action,Super Hero
18.106773511826283,19.460173052637565,8.229511118964457,8.229511118964457,19.390322655115703,17.222696273709815,2012.0,3.0,132.0,0,PG-13,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction
19.61569411717178,20.586752966416224,8.356319965828153,8.353025845202325,19.38766459394432,18.92754261040139,2016.0,3.0,151.0,1,PG-13,Action,Based on Comic/Graphic Novel,Live Action,Super Hero
20.24552254644387,21.00285102189723,8.350666240520924,8.350666240520924,19.383855065542164,19.209181671549388,2017.0,12.0,150.0,1,PG-13,Adventure,Original Screenplay,"Animation,Live Action",Science Fiction
20.113794223075704,21.230959202710082,8.476996001664824,8.460834457746854,19.376192192825954,19.07181125832262,2019.0,7.0,118.0,1,PG,Adventure,Remake,"Animation,Live Action",Kids Fiction
19.117929187822686,20.182736994778033,8.189799618728228,8.189799618728228,19.376192192825954,17.702565499368784,2010.0,11.0,101.0,0,PG,Adventure,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction
19.63739409770014,20.613380956211444,8.37216741936598,8.355379895253634,19.36847014676186,18.833561732982975,2007.0,5.0,139.0,1,PG-13,Adventure,Based on Comic/Graphic Novel,Live Action,Super Hero
