case_label,movie_name,release_year,release_strategy,platform_release,opening_theaters,max_theaters,theater_expansion_ratio,imdb_rating_num,m1_predicted_imdb_rating,m1_rating_residual,legs,roi_worldwide,m4_predicted_roi_capped,m4_roi_residual,worldwide_box_office_usd,m3_predicted_log_worldwide,m3_boxoffice_residual_log
Oppenheimer,Oppenheimer,2023,Wide release,0,3610.0,3761.0,1.0418,8.2,7.4958,0.7042,4.0,9.7652,2.5514,7.2138,976518442.0,19.0079,1.6916
Parasite,Parasite (기생충),2019,Platform release,1,3.0,2001.0,667.0,8.5,7.7363,0.7637,9.39,21.4634,7.7736,13.6898,253267858.0,18.3893,0.9606
