model,term,coef,std_error,p_value,ci_low,ci_high,stars
M4 ROI,C(release_year)[T.1996],-25.785637,80.142033,0.747643,-182.861134,131.289861,
M4 ROI,C(release_year)[T.1997],-24.921401,80.144964,0.755836,-182.002645,132.159842,
M4 ROI,C(release_year)[T.1998],-25.997678,80.142978,0.745642,-183.075029,131.079673,
M4 ROI,C(release_year)[T.1999],-26.427615,80.142101,0.741582,-183.503246,130.648015,
M4 ROI,C(release_year)[T.2000],-26.829647,80.140885,0.73779,-183.902895,130.243601,
M4 ROI,C(release_year)[T.2001],-26.769616,80.14098,0.738356,-183.84305,130.303818,
M4 ROI,C(release_year)[T.2002],-26.450236,80.1413,0.741366,-183.524298,130.623825,
M4 ROI,C(release_year)[T.2003],-26.417514,80.141102,0.741674,-183.491187,130.656159,
M4 ROI,C(release_year)[T.2004],-25.969676,80.141672,0.745902,-183.044467,131.105114,
M4 ROI,C(release_year)[T.2005],-26.652027,80.140872,0.739463,-183.725249,130.421196,
M4 ROI,C(release_year)[T.2006],-26.673147,80.141096,0.739265,-183.746809,130.400515,
M4 ROI,C(release_year)[T.2007],-26.951569,80.140955,0.736643,-184.024954,130.121816,
M4 ROI,C(release_year)[T.2008],-26.438157,80.141123,0.741479,-183.511871,130.635558,
M4 ROI,C(release_year)[T.2009],-26.389982,80.141398,0.741934,-183.464235,130.684272,
M4 ROI,C(release_year)[T.2010],-25.799033,80.141502,0.747514,-182.87349,131.275424,
M4 ROI,C(release_year)[T.2011],-26.13352,80.14099,0.744353,-183.206974,130.939934,
M4 ROI,C(release_year)[T.2012],-25.650215,80.141165,0.748921,-182.724012,131.423582,
M4 ROI,C(release_year)[T.2013],-26.476936,80.140967,0.741113,-183.550344,130.596473,
M4 ROI,C(release_year)[T.2014],-26.056283,80.141359,0.745083,-183.130461,131.017895,
M4 ROI,C(release_year)[T.2015],-26.442739,80.140988,0.741436,-183.516189,130.630712,
M4 ROI,C(release_year)[T.2016],-26.687543,80.141154,0.739129,-183.761319,130.386233,
M4 ROI,C(release_year)[T.2017],-26.317268,80.141208,0.74262,-183.39115,130.756614,
M4 ROI,C(release_year)[T.2018],-26.347405,80.141231,0.742335,-183.421332,130.726522,
M4 ROI,C(release_year)[T.2019],-26.788238,80.141095,0.738181,-183.861898,130.285421,
M4 ROI,C(release_year)[T.2020],-27.831127,80.145955,0.728399,-184.914312,129.252057,
M4 ROI,C(release_year)[T.2021],-27.990682,80.141159,0.726889,-185.064466,129.083103,
M4 ROI,C(release_year)[T.2022],-26.527183,80.141226,0.74064,-183.6011,130.546733,
M4 ROI,C(release_year)[T.2023],-26.141731,80.142555,0.74428,-183.218253,130.93479,
M4 ROI,C(release_year)[T.2024],-26.521751,80.142884,0.740697,-183.598917,130.555416,
M4 ROI,C(release_year)[T.2025],-27.925094,132.694599,0.833319,-288.001729,232.151542,
M4 ROI,platform_release,1.192491,0.560113,0.033253,0.094689,2.290293,*
M4 ROI,log_opening_theaters,1.696336,0.107962,0.0,1.484734,1.907938,***
M4 ROI,log_expansion_ratio,1.83752,0.185229,0.0,1.474477,2.200562,***
M4 ROI,imdb_rating_num,1.23031,0.091873,0.0,1.050242,1.410377,***
M4 ROI,log_budget,-2.711898,0.169064,0.0,-3.043257,-2.380539,***
M4 ROI,is_franchise,2.773624,0.200703,0.0,2.380254,3.166994,***
M5 Franchise interaction,Intercept,5.238407,5.826452,0.368614,-6.181229,16.658042,
M5 Franchise interaction,C(genre_fe)[T.Adventure],0.148829,0.053411,0.005329,0.044145,0.253513,**
M5 Franchise interaction,C(genre_fe)[T.Black Comedy],0.176957,0.094809,0.061977,-0.008865,0.36278,+
M5 Franchise interaction,C(genre_fe)[T.Comedy],-0.091573,0.051346,0.074514,-0.192209,0.009064,+
M5 Franchise interaction,C(genre_fe)[T.Documentary],1.178854,0.170228,0.0,0.845213,1.512495,***
M5 Franchise interaction,C(genre_fe)[T.Drama],0.498687,0.050732,0.0,0.399255,0.598119,***
M5 Franchise interaction,C(genre_fe)[T.Horror],-0.297643,0.06601,7e-06,-0.427021,-0.168265,***
M5 Franchise interaction,C(genre_fe)[T.Musical],0.119465,0.117559,0.309532,-0.110948,0.349877,
M5 Franchise interaction,C(genre_fe)[T.Other],0.194822,0.482631,0.686457,-0.751117,1.140762,
M5 Franchise interaction,C(genre_fe)[T.Romantic Comedy],-0.05089,0.062118,0.412642,-0.17264,0.070859,
M5 Franchise interaction,C(genre_fe)[T.Thriller/Suspense],0.183934,0.054372,0.000717,0.077367,0.290501,***
M5 Franchise interaction,C(genre_fe)[T.Western],0.308677,0.109037,0.004641,0.094967,0.522386,**
M5 Franchise interaction,C(release_year)[T.1974],-0.351642,32.144199,0.991272,-63.353114,62.64983,
M5 Franchise interaction,C(release_year)[T.1975],-0.169645,5.892178,0.977031,-11.718101,11.378811,
M5 Franchise interaction,C(release_year)[T.1976],-0.459243,5.915393,0.938118,-12.0532,11.134713,
M5 Franchise interaction,C(release_year)[T.1977],-0.661967,11.498501,0.954091,-23.198616,21.874682,
M5 Franchise interaction,C(release_year)[T.1978],-0.777132,5.830405,0.893964,-12.204517,10.650252,
M5 Franchise interaction,C(release_year)[T.1979],-0.672982,5.829056,0.908086,-12.097723,10.751759,
M5 Franchise interaction,C(release_year)[T.1980],-0.313861,5.823198,0.957016,-11.72712,11.099397,
M5 Franchise interaction,C(release_year)[T.1981],-0.558951,5.823127,0.92353,-11.972071,10.854169,
M5 Franchise interaction,C(release_year)[T.1982],-0.277684,5.821303,0.961954,-11.687227,11.131859,
M5 Franchise interaction,C(release_year)[T.1983],-1.028113,5.832244,0.860073,-12.4591,10.402875,
M5 Franchise interaction,C(release_year)[T.1984],-0.368302,5.820785,0.949549,-11.776832,11.040228,
M5 Franchise interaction,C(release_year)[T.1985],-0.7987,5.823815,0.890917,-12.213168,10.615768,
M5 Franchise interaction,C(release_year)[T.1986],-0.384232,5.821184,0.947373,-11.793543,11.025079,
M5 Franchise interaction,C(release_year)[T.1987],-0.541066,5.826554,0.926013,-11.960903,10.878771,
M5 Franchise interaction,C(release_year)[T.1988],-0.431812,5.82207,0.940877,-11.84286,10.979236,
M5 Franchise interaction,C(release_year)[T.1989],-0.444936,5.821705,0.939079,-11.855268,10.965397,
M5 Franchise interaction,C(release_year)[T.1990],-0.551557,5.820705,0.924507,-11.959929,10.856816,
M5 Franchise interaction,C(release_year)[T.1991],-0.288517,5.822016,0.960476,-11.699458,11.122424,
M5 Franchise interaction,C(release_year)[T.1992],-0.36334,5.822388,0.950241,-11.77501,11.048329,
M5 Franchise interaction,C(release_year)[T.1993],-0.464939,5.824082,0.936372,-11.879929,10.950051,
M5 Franchise interaction,C(release_year)[T.1994],-0.702662,5.821677,0.903931,-12.112939,10.707616,
M5 Franchise interaction,C(release_year)[T.1995],-0.920328,5.820614,0.874366,-12.328521,10.487866,
M5 Franchise interaction,C(release_year)[T.1996],-0.908212,5.820228,0.875998,-12.315649,10.499225,
M5 Franchise interaction,C(release_year)[T.1997],-0.997916,5.820721,0.863876,-12.406319,10.410487,
M5 Franchise interaction,C(release_year)[T.1998],-0.84525,5.820364,0.884535,-12.252954,10.562453,
M5 Franchise interaction,C(release_year)[T.1999],-0.842663,5.82034,0.884885,-12.250319,10.564993,
M5 Franchise interaction,C(release_year)[T.2000],-1.048601,5.820196,0.857022,-12.455976,10.358774,
M5 Franchise interaction,C(release_year)[T.2001],-0.996404,5.820123,0.864067,-12.403635,10.410827,
M5 Franchise interaction,C(release_year)[T.2002],-1.129835,5.820241,0.846081,-12.537297,10.277627,
M5 Franchise interaction,C(release_year)[T.2003],-1.161398,5.820226,0.841836,-12.568831,10.246035,
M5 Franchise interaction,C(release_year)[T.2004],-1.095806,5.82031,0.850663,-12.503404,10.311793,
M5 Franchise interaction,C(release_year)[T.2005],-1.123672,5.820332,0.846912,-12.531313,10.28397,
M5 Franchise interaction,C(release_year)[T.2006],-1.051519,5.820241,0.85663,-12.458981,10.355943,
M5 Franchise interaction,C(release_year)[T.2007],-0.874293,5.82038,0.880597,-12.282027,10.533442,
M5 Franchise interaction,C(release_year)[T.2008],-1.170897,5.820156,0.840558,-12.578193,10.236399,
M5 Franchise interaction,C(release_year)[T.2009],-1.079547,5.820244,0.852852,-12.487016,10.327923,
M5 Franchise interaction,C(release_year)[T.2010],-1.150702,5.820174,0.843273,-12.558033,10.256629,
M5 Franchise interaction,C(release_year)[T.2011],-1.209457,5.820181,0.835382,-12.616803,10.197888,
M5 Franchise interaction,C(release_year)[T.2012],-1.014709,5.820131,0.861595,-12.421955,10.392537,
M5 Franchise interaction,C(release_year)[T.2013],-1.069247,5.820029,0.854234,-12.476294,10.337801,
M5 Franchise interaction,C(release_year)[T.2014],-1.101201,5.820207,0.849934,-12.508597,10.306196,
M5 Franchise interaction,C(release_year)[T.2015],-1.029756,5.820139,0.859564,-12.437019,10.377507,
M5 Franchise interaction,C(release_year)[T.2016],-1.047463,5.82008,0.857173,-12.45461,10.359684,
M5 Franchise interaction,C(release_year)[T.2017],-1.071467,5.820175,0.853939,-12.478801,10.335867,
M5 Franchise interaction,C(release_year)[T.2018],-1.048122,5.820162,0.857086,-12.45543,10.359186,
M5 Franchise interaction,C(release_year)[T.2019],-0.950359,5.8203,0.870295,-12.357937,10.457219,
M5 Franchise interaction,C(release_year)[T.2020],-0.967741,5.82207,0.867984,-12.378789,10.443306,
M5 Franchise interaction,C(release_year)[T.2021],-0.974322,5.820592,0.867061,-12.382472,10.433828,
M5 Franchise interaction,C(release_year)[T.2022],-0.910886,5.820375,0.875639,-12.318612,10.496839,
M5 Franchise interaction,C(release_year)[T.2023],-0.891467,5.820602,0.878274,-12.299637,10.516703,
M5 Franchise interaction,C(release_year)[T.2024],-0.868705,5.820941,0.881366,-12.277539,10.540129,
M5 Franchise interaction,C(release_year)[T.2025],-2.024104,7.937254,0.798713,-17.580835,13.532628,
M5 Franchise interaction,log_opening_theaters,-0.122286,0.00708,0.0,-0.136162,-0.10841,***
M5 Franchise interaction,is_franchise,0.164208,0.169105,0.331526,-0.167231,0.495648,
M5 Franchise interaction,log_opening_theaters:is_franchise,-0.015838,0.021451,0.460307,-0.057882,0.026205,
M5 Franchise interaction,log_budget,0.033173,0.018087,0.066648,-0.002278,0.068623,+
M5 Franchise interaction,log_imdb_votes,0.208332,0.018448,0.0,0.172174,0.24449,***
M6 Quality interaction,Intercept,6.467646,11.257028,0.5656,-15.595723,28.531015,
M6 Quality interaction,C(genre_fe)[T.Adventure],0.118527,0.046776,0.01128,0.026847,0.210207,*
M6 Quality interaction,C(genre_fe)[T.Black Comedy],-0.283273,0.101025,0.005048,-0.481279,-0.085267,**
M6 Quality interaction,C(genre_fe)[T.Comedy],-0.129271,0.051639,0.012301,-0.230481,-0.028061,*
M6 Quality interaction,C(genre_fe)[T.Documentary],-0.181697,0.204214,0.373607,-0.581948,0.218555,
M6 Quality interaction,C(genre_fe)[T.Drama],-0.154097,0.054955,0.005047,-0.261807,-0.046387,**
M6 Quality interaction,C(genre_fe)[T.Horror],-0.066842,0.065002,0.303806,-0.194242,0.060559,
M6 Quality interaction,C(genre_fe)[T.Musical],0.068739,0.132025,0.602611,-0.190025,0.327502,
M6 Quality interaction,C(genre_fe)[T.Other],0.142785,0.265427,0.590614,-0.377442,0.663013,
M6 Quality interaction,C(genre_fe)[T.Romantic Comedy],0.15515,0.072156,0.031539,0.013727,0.296573,*
M6 Quality interaction,C(genre_fe)[T.Thriller/Suspense],-0.12541,0.056868,0.027436,-0.23687,-0.013949,*
M6 Quality interaction,C(genre_fe)[T.Western],-0.344884,0.136167,0.011315,-0.611765,-0.078002,*
M6 Quality interaction,C(release_year)[T.1974],0.254613,196.322776,0.998965,-384.530957,385.040183,
M6 Quality interaction,C(release_year)[T.1975],-0.113865,11.257017,0.99193,-22.177212,21.949483,
M6 Quality interaction,C(release_year)[T.1976],-1.214974,11.253183,0.914022,-23.270807,20.840858,
M6 Quality interaction,C(release_year)[T.1977],0.034482,76.28174,0.999639,-149.47498,149.543944,
M6 Quality interaction,C(release_year)[T.1978],-0.519284,11.258611,0.963212,-22.585756,21.547187,
M6 Quality interaction,C(release_year)[T.1979],-0.598072,11.256579,0.957628,-22.660562,21.464419,
M6 Quality interaction,C(release_year)[T.1980],-1.098491,11.262345,0.9223,-23.17228,20.975299,
M6 Quality interaction,C(release_year)[T.1981],-1.321419,11.256436,0.906549,-23.383628,20.740789,
M6 Quality interaction,C(release_year)[T.1982],-1.36646,11.25652,0.90338,-23.428834,20.695913,
M6 Quality interaction,C(release_year)[T.1983],-1.301276,11.257722,0.907978,-23.366006,20.763454,
M6 Quality interaction,C(release_year)[T.1984],-1.772311,11.256264,0.874889,-23.834183,20.28956,
M6 Quality interaction,C(release_year)[T.1985],-1.312584,11.257304,0.907178,-23.376494,20.751327,
M6 Quality interaction,C(release_year)[T.1986],-1.714697,11.25973,0.878961,-23.783363,20.353968,
M6 Quality interaction,C(release_year)[T.1987],-1.619519,11.257012,0.885605,-23.682857,20.443819,
M6 Quality interaction,C(release_year)[T.1988],-1.364326,11.256181,0.903527,-23.426035,20.697384,
M6 Quality interaction,C(release_year)[T.1989],-1.360929,11.25441,0.903751,-23.419168,20.69731,
M6 Quality interaction,C(release_year)[T.1990],-1.270092,11.256466,0.910164,-23.33236,20.792176,
M6 Quality interaction,C(release_year)[T.1991],-1.40635,11.254763,0.900558,-23.46528,20.652581,
M6 Quality interaction,C(release_year)[T.1992],-1.248247,11.254761,0.911689,-23.307174,20.810679,
M6 Quality interaction,C(release_year)[T.1993],-1.209296,11.254943,0.914435,-23.268579,20.849988,
M6 Quality interaction,C(release_year)[T.1994],-1.276095,11.253636,0.909718,-23.332816,20.780626,
M6 Quality interaction,C(release_year)[T.1995],-1.369823,11.253408,0.903117,-23.426098,20.686452,
M6 Quality interaction,C(release_year)[T.1996],-1.510206,11.253358,0.893244,-23.566381,20.54597,
M6 Quality interaction,C(release_year)[T.1997],-1.461435,11.253471,0.896673,-23.517833,20.594963,
M6 Quality interaction,C(release_year)[T.1998],-1.619325,11.253322,0.885581,-23.675432,20.436782,
M6 Quality interaction,C(release_year)[T.1999],-1.748833,11.253312,0.876501,-23.804919,20.307253,
M6 Quality interaction,C(release_year)[T.2000],-1.720719,11.253143,0.878469,-23.776474,20.335036,
M6 Quality interaction,C(release_year)[T.2001],-1.783561,11.253122,0.874067,-23.839274,20.272152,
M6 Quality interaction,C(release_year)[T.2002],-1.878905,11.253147,0.867396,-23.934667,20.176857,
M6 Quality interaction,C(release_year)[T.2003],-1.805938,11.253198,0.872501,-23.861801,20.249926,
M6 Quality interaction,C(release_year)[T.2004],-1.855953,11.253204,0.869002,-23.911828,20.199922,
M6 Quality interaction,C(release_year)[T.2005],-1.901952,11.253124,0.865784,-23.957671,20.153766,
M6 Quality interaction,C(release_year)[T.2006],-1.744442,11.253161,0.876807,-23.800232,20.311348,
M6 Quality interaction,C(release_year)[T.2007],-1.869194,11.253138,0.868075,-23.924939,20.186551,
M6 Quality interaction,C(release_year)[T.2008],-1.767863,11.253141,0.875166,-23.823613,20.287887,
M6 Quality interaction,C(release_year)[T.2009],-1.701545,11.253211,0.879814,-23.757435,20.354344,
M6 Quality interaction,C(release_year)[T.2010],-1.627548,11.253151,0.885003,-23.683318,20.428222,
M6 Quality interaction,C(release_year)[T.2011],-1.662006,11.253145,0.882585,-23.717766,20.393754,
M6 Quality interaction,C(release_year)[T.2012],-1.569822,11.253147,0.889055,-23.625585,20.485942,
M6 Quality interaction,C(release_year)[T.2013],-1.764503,11.25312,0.875401,-23.820212,20.291206,
M6 Quality interaction,C(release_year)[T.2014],-1.649033,11.253137,0.883495,-23.704776,20.406709,
M6 Quality interaction,C(release_year)[T.2015],-1.773737,11.253161,0.874755,-23.829527,20.282054,
M6 Quality interaction,C(release_year)[T.2016],-1.843677,11.253171,0.86986,-23.899487,20.212133,
M6 Quality interaction,C(release_year)[T.2017],-1.754763,11.253149,0.876084,-23.81053,20.301004,
M6 Quality interaction,C(release_year)[T.2018],-1.814016,11.25314,0.871935,-23.869765,20.241733,
M6 Quality interaction,C(release_year)[T.2019],-1.857809,11.253256,0.868873,-23.913784,20.198167,
M6 Quality interaction,C(release_year)[T.2020],-2.355133,11.254126,0.834239,-24.412814,19.702548,
M6 Quality interaction,C(release_year)[T.2021],-2.399339,11.253509,0.831165,-24.455812,19.657135,
M6 Quality interaction,C(release_year)[T.2022],-1.893981,11.253507,0.866346,-23.95045,20.162488,
M6 Quality interaction,C(release_year)[T.2023],-1.917052,11.253369,0.864732,-23.973251,20.139146,
M6 Quality interaction,C(release_year)[T.2024],-1.94204,11.253581,0.862989,-23.998654,20.114574,
M6 Quality interaction,C(release_year)[T.2025],-2.920961,11.290161,0.795853,-25.04927,19.207348,
M6 Quality interaction,platform_release,-0.110935,0.153716,0.470485,-0.412213,0.190342,
M6 Quality interaction,high_rating,0.665203,0.034943,0.0,0.596716,0.733691,***
M6 Quality interaction,platform_release:high_rating,-0.015632,0.130003,0.904293,-0.270432,0.239169,
M6 Quality interaction,log_opening_theaters,0.64268,0.023287,0.0,0.597038,0.688322,***
M6 Quality interaction,log_expansion_ratio,0.799619,0.042053,0.0,0.717196,0.882041,***
M6 Quality interaction,log_budget,0.434907,0.020286,0.0,0.395148,0.474667,***
M6 Quality interaction,is_franchise,0.771378,0.032836,0.0,0.707022,0.835735,***
M7 Platform likelihood,Intercept,-11.346695,1.654458,0.0,-14.589374,-8.104017,***
M7 Platform likelihood,C(genre_fe)[T.Adventure],0.158154,0.45842,0.730095,-0.740332,1.05664,
M7 Platform likelihood,C(genre_fe)[T.Black Comedy],1.576992,0.484392,0.001131,0.6276,2.526384,**
M7 Platform likelihood,C(genre_fe)[T.Comedy],1.349005,0.399894,0.000742,0.565228,2.132782,***
M7 Platform likelihood,C(genre_fe)[T.Documentary],-0.951453,0.791875,0.22955,-2.503499,0.600593,
M7 Platform likelihood,C(genre_fe)[T.Drama],1.298796,0.393577,0.000967,0.527399,2.070193,***
M7 Platform likelihood,C(genre_fe)[T.Horror],0.344272,0.567052,0.543767,-0.767129,1.455672,
M7 Platform likelihood,C(genre_fe)[T.Musical],2.098609,0.58551,0.000338,0.95103,3.246188,***
M7 Platform likelihood,C(genre_fe)[T.Other],-21.152148,0.59483,0.0,-22.317993,-19.986303,***
M7 Platform likelihood,C(genre_fe)[T.Romantic Comedy],0.711453,0.509009,0.162196,-0.286185,1.709092,
M7 Platform likelihood,C(genre_fe)[T.Thriller/Suspense],0.625728,0.426813,0.142635,-0.21081,1.462267,
M7 Platform likelihood,C(genre_fe)[T.Western],1.730978,0.573264,0.002532,0.6074,2.854555,**
M7 Platform likelihood,C(source_fe)[T.Based on Factual Book/Article],1.017882,0.675991,0.132128,-0.307036,2.3428,
M7 Platform likelihood,C(source_fe)[T.Based on Fiction Book/Short Story],1.046455,0.63452,0.099105,-0.197181,2.290092,+
M7 Platform likelihood,C(source_fe)[T.Based on Folk Tale/Legend/Fairytale],1.80936,0.920417,0.049321,0.005375,3.613345,*
M7 Platform likelihood,C(source_fe)[T.Based on Game],-18.635098,0.646222,0.0,-19.901669,-17.368527,***
M7 Platform likelihood,C(source_fe)[T.Based on Movie],0.009362,1.58493,0.995287,-3.097043,3.115767,
M7 Platform likelihood,C(source_fe)[T.Based on Play],1.533556,0.732347,0.036257,0.098183,2.96893,*
M7 Platform likelihood,C(source_fe)[T.Based on Real Life Events],1.22271,0.650861,0.060298,-0.052953,2.498374,+
M7 Platform likelihood,C(source_fe)[T.Based on TV],-0.499053,1.129684,0.658661,-2.713192,1.715087,
M7 Platform likelihood,C(source_fe)[T.Original Screenplay],0.629175,0.629593,0.317632,-0.604805,1.863154,
M7 Platform likelihood,C(source_fe)[T.Other],0.811864,0.745177,0.275937,-0.648655,2.272384,
M7 Platform likelihood,C(source_fe)[T.Remake],-1.308866,1.243639,0.292594,-3.746354,1.128621,
M7 Platform likelihood,C(source_fe)[T.Spin-Off],-19.271049,0.668969,0.0,-20.582204,-17.959893,***
M7 Platform likelihood,C(release_decade)[T.1980s],0.273897,1.061658,0.796414,-1.806913,2.354708,
M7 Platform likelihood,C(release_decade)[T.1990s],0.53772,1.024187,0.599569,-1.46965,2.54509,
M7 Platform likelihood,C(release_decade)[T.2000s],0.596162,1.011544,0.555621,-1.386428,2.578752,
M7 Platform likelihood,C(release_decade)[T.2010s],0.833486,1.012624,0.410454,-1.15122,2.818193,
M7 Platform likelihood,C(release_decade)[T.2020s],0.422745,1.049248,0.68702,-1.633744,2.479233,
M7 Platform likelihood,imdb_rating_num,1.495894,0.103954,0.0,1.292148,1.699639,***
M7 Platform likelihood,log_budget,-0.211586,0.049567,2e-05,-0.308735,-0.114437,***
M7 Platform likelihood,is_franchise,-1.148665,0.258067,9e-06,-1.654466,-0.642864,***
