model,term,coef,std_error,p_value,ci_low,ci_high,stars
M1 IMDb rating,C(release_year)[T.2001],-0.90802,158.915292,0.995441,-312.37627,310.560229,
M1 IMDb rating,C(release_year)[T.2002],-1.056192,158.915292,0.994697,-312.52444,310.412056,
M1 IMDb rating,C(release_year)[T.2003],-1.07812,158.915294,0.994587,-312.546373,310.390133,
M1 IMDb rating,C(release_year)[T.2004],-1.034354,158.915295,0.994807,-312.502609,310.433901,
M1 IMDb rating,C(release_year)[T.2005],-1.051662,158.915294,0.99472,-312.519914,310.416591,
M1 IMDb rating,C(release_year)[T.2006],-0.990667,158.91529,0.995026,-312.458912,310.477577,
M1 IMDb rating,C(release_year)[T.2007],-0.811611,158.915295,0.995925,-312.279865,310.656644,
M1 IMDb rating,C(release_year)[T.2008],-1.105358,158.915288,0.99445,-312.573599,310.362883,
M1 IMDb rating,C(release_year)[T.2009],-0.994795,158.915296,0.995005,-312.463051,310.473461,
M1 IMDb rating,C(release_year)[T.2010],-1.042249,158.91529,0.994767,-312.510494,310.425997,
M1 IMDb rating,C(release_year)[T.2011],-1.115676,158.915289,0.994398,-312.58392,310.352567,
M1 IMDb rating,C(release_year)[T.2012],-0.925938,158.915287,0.995351,-312.394178,310.542302,
M1 IMDb rating,C(release_year)[T.2013],-1.001824,158.915289,0.99497,-312.470067,310.46642,
M1 IMDb rating,C(release_year)[T.2014],-1.021041,158.91529,0.994874,-312.489287,310.447204,
M1 IMDb rating,C(release_year)[T.2015],-0.972992,158.915291,0.995115,-312.441238,310.495255,
M1 IMDb rating,C(release_year)[T.2016],-1.011962,158.915287,0.994919,-312.480201,310.456278,
M1 IMDb rating,C(release_year)[T.2017],-1.045752,158.915292,0.99475,-312.514,310.422496,
M1 IMDb rating,C(release_year)[T.2018],-1.008477,158.915292,0.994937,-312.476726,310.459773,
M1 IMDb rating,C(release_year)[T.2019],-0.900668,158.915292,0.995478,-312.368918,310.567582,
M1 IMDb rating,C(release_year)[T.2020],-0.886541,158.915361,0.995549,-312.354925,310.581844,
M1 IMDb rating,C(release_year)[T.2021],-0.939405,158.915305,0.995283,-312.40768,310.52887,
M1 IMDb rating,C(release_year)[T.2022],-0.857283,158.9153,0.995696,-312.325548,310.610981,
M1 IMDb rating,C(release_year)[T.2023],-0.851258,158.915307,0.995726,-312.319536,310.61702,
M1 IMDb rating,C(release_year)[T.2024],-0.827956,158.91532,0.995843,-312.29626,310.640347,
M1 IMDb rating,C(release_year)[T.2025],-1.950662,159.353147,0.990233,-314.277091,310.375768,
M1 IMDb rating,platform_release,0.085776,0.076393,0.261512,-0.063952,0.235504,
M1 IMDb rating,log_opening_theaters,-0.088375,0.018035,1e-06,-0.123724,-0.053027,***
M1 IMDb rating,log_expansion_ratio,0.031335,0.030463,0.303653,-0.028371,0.091041,
M1 IMDb rating,log_budget,0.004329,0.018617,0.816117,-0.03216,0.040819,
M1 IMDb rating,log_imdb_votes,0.199839,0.019382,0.0,0.161851,0.237828,***
M1 IMDb rating,is_franchise,0.079577,0.037898,0.035749,0.005298,0.153856,*
M2 Legs,Intercept,17.575975,168.07962,0.916718,-311.854026,347.005976,
M2 Legs,C(genre_fe)[T.Adventure],0.867506,0.204834,2.3e-05,0.466038,1.268975,***
M2 Legs,C(genre_fe)[T.Black Comedy],1.42257,0.951839,0.135032,-0.443,3.28814,
M2 Legs,C(genre_fe)[T.Comedy],0.965659,0.252493,0.000131,0.470782,1.460537,***
M2 Legs,C(genre_fe)[T.Documentary],1.274838,0.887724,0.150981,-0.465068,3.014745,
M2 Legs,C(genre_fe)[T.Drama],0.999458,0.256402,9.7e-05,0.496919,1.501996,***
M2 Legs,C(genre_fe)[T.Horror],0.584897,0.393939,0.137613,-0.18721,1.357004,
M2 Legs,C(genre_fe)[T.Musical],1.171524,0.486554,0.016049,0.217896,2.125152,*
M2 Legs,C(genre_fe)[T.Other],0.220451,0.565305,0.696561,-0.887528,1.328429,
M2 Legs,C(genre_fe)[T.Romantic Comedy],1.044002,0.254178,4e-05,0.545823,1.542181,***
M2 Legs,C(genre_fe)[T.Thriller/Suspense],0.172649,0.188379,0.359407,-0.196568,0.541865,
M2 Legs,C(genre_fe)[T.Western],0.319755,0.401831,0.42618,-0.467819,1.107329,
M2 Legs,C(release_year)[T.1974],28.624833,168.408381,0.865032,-301.449529,358.699195,
M2 Legs,C(release_year)[T.1975],6.70882,168.240275,0.968192,-323.036061,336.4537,
M2 Legs,C(release_year)[T.1976],-11.706851,168.075264,0.94447,-341.128316,317.714614,
M2 Legs,C(release_year)[T.1977],12.956692,172.764496,0.940218,-325.655499,351.568882,
M2 Legs,C(release_year)[T.1978],-9.280211,168.072738,0.955967,-338.696726,320.136303,
M2 Legs,C(release_year)[T.1979],36.458449,171.325612,0.831481,-299.333581,372.250478,
M2 Legs,C(release_year)[T.1980],1.556258,168.429751,0.992628,-328.559988,331.672503,
M2 Legs,C(release_year)[T.1981],-11.012951,168.091929,0.947762,-340.467078,318.441175,
M2 Legs,C(release_year)[T.1982],-11.706576,168.079701,0.944473,-341.136738,317.723585,
M2 Legs,C(release_year)[T.1983],-12.880027,168.078735,0.938917,-342.308294,316.548241,
M2 Legs,C(release_year)[T.1984],-11.876299,168.077773,0.943669,-341.302682,317.550083,
M2 Legs,C(release_year)[T.1985],-7.665259,168.199066,0.963651,-337.32937,321.998852,
M2 Legs,C(release_year)[T.1986],-13.495157,168.078158,0.936006,-342.922292,315.931979,
M2 Legs,C(release_year)[T.1987],-14.837184,168.072597,0.929655,-344.253419,314.579052,
M2 Legs,C(release_year)[T.1988],-13.946854,168.072648,0.933867,-343.363192,315.469484,
M2 Legs,C(release_year)[T.1989],-15.699592,168.070653,0.925577,-345.112018,313.712834,
M2 Legs,C(release_year)[T.1990],-14.205151,168.073193,0.932645,-343.622556,315.212253,
M2 Legs,C(release_year)[T.1991],-15.365288,168.070929,0.927158,-344.778256,314.04768,
M2 Legs,C(release_year)[T.1992],-14.774395,168.074841,0.929953,-344.195029,314.646239,
M2 Legs,C(release_year)[T.1993],-15.244717,168.070854,0.927728,-344.657538,314.168103,
M2 Legs,C(release_year)[T.1994],-15.638258,168.070761,0.925867,-345.050897,313.774381,
M2 Legs,C(release_year)[T.1995],-16.404979,168.070448,0.922244,-345.817003,313.007045,
M2 Legs,C(release_year)[T.1996],-16.188106,168.070594,0.923269,-345.600416,313.224205,
M2 Legs,C(release_year)[T.1997],-16.002258,168.070818,0.924147,-345.415008,313.410492,
M2 Legs,C(release_year)[T.1998],-16.895016,168.070481,0.919929,-346.307105,312.517073,
M2 Legs,C(release_year)[T.1999],-16.808651,168.070526,0.920337,-346.220828,312.603526,
M2 Legs,C(release_year)[T.2000],-16.435802,168.070547,0.922098,-345.848022,312.976418,
M2 Legs,C(release_year)[T.2001],-16.809169,168.07042,0.920334,-346.221139,312.6028,
M2 Legs,C(release_year)[T.2002],-16.813273,168.070438,0.920315,-346.225278,312.598732,
M2 Legs,C(release_year)[T.2003],-16.842482,168.070421,0.920177,-346.254453,312.56949,
M2 Legs,C(release_year)[T.2004],-16.883588,168.070436,0.919983,-346.29559,312.528414,
M2 Legs,C(release_year)[T.2005],-17.279951,168.070346,0.918111,-346.691777,312.131874,
M2 Legs,C(release_year)[T.2006],-17.204465,168.070374,0.918467,-346.616345,312.207415,
M2 Legs,C(release_year)[T.2007],-17.485254,168.07036,0.917141,-346.897106,311.926599,
M2 Legs,C(release_year)[T.2008],-17.44219,168.070326,0.917345,-346.853975,311.969596,
M2 Legs,C(release_year)[T.2009],-17.639374,168.070335,0.916414,-347.051177,311.772429,
M2 Legs,C(release_year)[T.2010],-17.496392,168.070369,0.917089,-346.908263,311.915478,
M2 Legs,C(release_year)[T.2011],-17.152417,168.070481,0.918713,-346.564506,312.259672,
M2 Legs,C(release_year)[T.2012],-17.687917,168.070284,0.916184,-347.09962,311.723787,
M2 Legs,C(release_year)[T.2013],-17.930654,168.070301,0.915039,-347.34239,311.481082,
M2 Legs,C(release_year)[T.2014],-16.895329,168.072161,0.919928,-346.310711,312.520053,
M2 Legs,C(release_year)[T.2015],-17.871069,168.070271,0.91532,-347.282747,311.54061,
M2 Legs,C(release_year)[T.2016],-17.436489,168.070901,0.917372,-346.849401,311.976423,
M2 Legs,C(release_year)[T.2017],-17.492793,168.070309,0.917106,-346.904546,311.918959,
M2 Legs,C(release_year)[T.2018],-17.509353,168.070298,0.917028,-346.921083,311.902377,
M2 Legs,C(release_year)[T.2019],-17.375503,168.07031,0.91766,-346.787257,312.036252,
M2 Legs,C(release_year)[T.2020],-17.702295,168.070522,0.916117,-347.114464,311.709875,
M2 Legs,C(release_year)[T.2021],-17.21848,168.070368,0.918401,-346.630349,312.193389,
M2 Legs,C(release_year)[T.2022],-17.052107,168.070418,0.919187,-346.464073,312.359858,
M2 Legs,C(release_year)[T.2023],-17.301723,168.070358,0.918008,-346.71357,312.110125,
M2 Legs,C(release_year)[T.2024],-17.252011,168.070329,0.918243,-346.663803,312.159781,
M2 Legs,C(release_year)[T.2025],-17.613964,168.074236,0.916536,-347.033414,311.805487,
M2 Legs,platform_release,-2.303439,1.086357,0.033978,-4.43266,-0.174218,*
M2 Legs,log_opening_theaters,-0.53896,0.118727,6e-06,-0.771659,-0.30626,***
M2 Legs,log_expansion_ratio,0.509094,0.274078,0.063244,-0.02809,1.046277,+
M2 Legs,imdb_rating_num,0.783696,0.088634,0.0,0.609977,0.957415,***
M2 Legs,log_budget,0.057572,0.112188,0.607831,-0.162312,0.277455,
M2 Legs,is_franchise,0.243201,0.170005,0.152559,-0.090003,0.576405,
M3 Worldwide box office,Intercept,3.69254,360.53348,0.991828,-702.940096,710.325176,
M3 Worldwide box office,C(genre_fe)[T.Adventure],0.110612,0.04592,0.016005,0.020611,0.200614,*
M3 Worldwide box office,C(genre_fe)[T.Black Comedy],-0.271301,0.104996,0.009768,-0.47709,-0.065513,**
M3 Worldwide box office,C(genre_fe)[T.Comedy],-0.096483,0.051056,0.058791,-0.19655,0.003584,+
M3 Worldwide box office,C(genre_fe)[T.Documentary],-0.089448,0.210694,0.671173,-0.5024,0.323505,
M3 Worldwide box office,C(genre_fe)[T.Drama],-0.146333,0.057962,0.011581,-0.259936,-0.03273,*
M3 Worldwide box office,C(genre_fe)[T.Horror],0.008413,0.064744,0.896612,-0.118484,0.13531,
M3 Worldwide box office,C(genre_fe)[T.Musical],0.128447,0.12928,0.32044,-0.124937,0.38183,
M3 Worldwide box office,C(genre_fe)[T.Other],0.311499,0.336305,0.354322,-0.347647,0.970645,
