movie_name,release_year,genre,source,creative_type,positioning_proxy,release_strategy,production_budget_usd,opening_weekend_usd,domestic_box_office_usd,worldwide_box_office_usd,opening_theaters,max_theaters,theater_expansion_ratio,opening_scarcity_percentile,legs,avg_weeks_per_theater,roi_worldwide,imdb_rating_num,imdb_votes_num,opening_theaters_percentile,max_theaters_percentile,expansion_ratio_percentile,legs_percentile,roi_worldwide_percentile,imdb_rating_percentile,worldwide_box_percentile
Oppenheimer,2023,Drama,Based on Factual Book/Article,Dramatization,Mainstream/event proxy,"Wide (2,000+)",100000000,82455420.0,329862540.0,976518442.0,3610.0,3761.0,1.04,11.6,4.0,10.1,9.77,8.2,1024033.0,88.4,90.7,68.5,66.3,92.9,98.0,98.7
Parasite (기생충),2019,Black Comedy,Original Screenplay,Contemporary Fiction,Arthouse/prestige proxy,Exclusive (1-10),11800000,393216.0,53369745.0,253267858.0,3.0,2001.0,667.0,95.7,9.39,7.2,21.46,8.5,1148210.0,4.3,34.8,99.2,93.1,97.8,99.4,84.7
